system,split,count,success_rate,correctness,bytes_median,rounds_median,path_gap_median,cut_gap_median,interpretability
certtalk,all,1000,0.999,1.0,947.0,7.0,0.0,0.0,1.0
sendall,all,1000,1.0,1.0,530.0,4.0,0.0,0.0,1.0
greedyprobe,all,1000,0.999,1.0,947.0,7.0,0.0,0.0,1.0
cutgrow,all,1000,0.217,0.217,3175.0,23.0,,0,0.217
